provincia;poblacion;codigopostal;lat;lon
Araba/Álava;Harana/Valle de Arana;1117;-2,33104687;42,75289194
Araba/Álava;Villabuena de Álava/Eskuernaga;1307;-2,66452938;42,54857804
Araba/Álava;Legutio;1170;-2,64255929;42,9798744
Araba/Álava;Legutio;1171;-2,64255929;42,9798744
Araba/Álava;Legutio;1510;-2,64255929;42,9798744
Araba/Álava;Vitoria-Gasteiz;1001;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1002;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1003;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1004;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1005;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1006;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1007;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1008;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1009;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1010;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1012;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1013;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1015;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1191;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1192;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1193;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1194;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1195;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1196;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1510;-2,67275685;42,85058789
Araba/Álava;Vitoria-Gasteiz;1520;-2,67275685;42,85058789
Araba/Álava;Yécora/Iekora;1322;-2,4700849;42,56923117
Araba/Álava;Zalduondo;1208;-2,34650825;42,88580971
Araba/Álava;Zambrana;1212;-2,87806502;42,66112968
Araba/Álava;Zuia;1130;-2,81862854;42,95597763
Araba/Álava;Zuia;1139;-2,81862854;42,95597763
Araba/Álava;Zuia;1450;-2,81862854;42,95597763
Araba/Álava;Iruña Oka/Iruña de Oca;1191;-2,8147543;42,81819126
Araba/Álava;Iruña Oka/Iruña de Oca;1195;-2,8147543;42,81819126
Araba/Álava;Iruña Oka/Iruña de Oca;1230;-2,8147543;42,81819126
Araba/Álava;Iruña Oka/Iruña de Oca;1428;-2,8147543;42,81819126
Araba/Álava;Lantarón;1213;-2,96649719;42,71657557
Araba/Álava;Lantarón;1423;-2,96649719;42,71657557
Albacete;Abengibre;2250;-1,54384487;39,2100078
Albacete;Alatoz;2152;-1,36097604;39,09494843
Albacete;Albacete;2001;-1,85574745;38,99588053
Albacete;Albacete;2002;-1,85574745;38,99588053
Albacete;Albacete;2003;-1,85574745;38,99588053
Albacete;Albacete;2004;-1,85574745;38,99588053
Albacete;Albacete;2005;-1,85574745;38,99588053
Albacete;Albacete;2006;-1,85574745;38,99588053
Albacete;Albacete;2008;-1,85574745;38,99588053
Albacete;Albacete;2049;-1,85574745;38,99588053
Albacete;Albacete;2071;-1,85574745;38,99588053
Albacete;Albacete;2099;-1,85574745;38,99588053
Albacete;Albacete;2140;-1,85574745;38,99588053
Albacete;Albacete;2155;-1,85574745;38,99588053
Albacete;Albacete;2328;-1,85574745;38,99588053
Albacete;Albacete;2511;-1,85574745;38,99588053
Albacete;Albacete;2512;-1,85574745;38,99588053
Albacete;Albatana;2653;-1,52275248;38,5708754
Albacete;Alborea;2215;-1,39670449;39,27835442
Albacete;Alcadozo;2124;-1,9802275;38,6489758
Albacete;Alcadozo;2128;-1,9802275;38,6489758
Albacete;Alcalá del Júcar;2210;-1,42932697;39,1932018
Albacete;Alcalá del Júcar;2211;-1,42932697;39,1932018
Albacete;Alcalá del Júcar;2214;-1,42932697;39,1932018
Albacete;Alcalá del Júcar;2252;-1,42932697;39,1932018
Albacete;Alcaraz;2300;-2,49034957;38,66425104
Albacete;Alcaraz;2312;-2,49034957;38,66425104
Albacete;Alcaraz;2314;-2,49034957;38,66425104
Albacete;Alcaraz;2330;-2,49034957;38,66425104
Albacete;Almansa;2640;-1,09414681;38,86968811
Albacete;Alpera;2690;-1,23080245;38,95969094
Albacete;Ayna;2124;-2,07053831;38,55217746
Albacete;Ayna;2125;-2,07053831;38,55217746
Albacete;Ayna;2126;-2,07053831;38,55217746
Albacete;Ayna;2139;-2,07053831;38,55217746
Albacete;Ayna;2999;-2,07053831;38,55217746
Albacete;Balazote;2320;-2,15096732;38,88396156
Albacete;Balsa de Ves;2213;-1,19650012;39,26461253
Albacete;Balsa de Ves;2214;-1,19650012;39,26461253
Albacete;El Ballestero;2614;-2,45508633;38,84252196
Albacete;Barrax;2639;-2,20045637;39,0456106
Albacete;Bienservida;2360;-2,61184243;38,51602097
Albacete;Bogarra;2130;-2,21253636;38,58025427
Albacete;Bogarra;2138;-2,21253636;38,58025427
Albacete;Bogarra;2139;-2,21253636;38,58025427
Albacete;Bogarra;2448;-2,21253636;38,58025427
Albacete;Bonete;2691;-1,34830324;38,86950589
Albacete;El Bonillo;2610;-2,54023691;38,95012362
